datetime,player_count
2021-01-04 17:25:22,96150
2021-01-04 17:30:03,96209
2021-01-04 17:35:03,95453
2021-01-04 17:40:03,96478
2021-01-04 17:45:03,96728
2021-01-04 17:50:02,96924
2021-01-04 17:55:03,96943
2021-01-04 18:00:03,97030
2021-01-04 18:05:02,97012
2021-01-04 18:10:03,96894
2021-01-04 18:15:03,96818
2021-01-04 18:20:03,96885
2021-01-04 18:25:02,96742
2021-01-04 18:30:03,96615
2021-01-04 18:35:02,96571
2021-01-04 18:40:03,96448
2021-01-04 18:45:03,96480
2021-01-04 18:50:03,96070
2021-01-04 18:55:03,95601
2021-01-04 19:00:03,94634
2021-01-04 19:05:03,94599
2021-01-04 19:10:03,94123
2021-01-04 19:15:02,93696
2021-01-04 19:20:03,93338
2021-01-04 19:25:02,92839
2021-01-04 19:30:03,92206
2021-01-04 19:35:03,91731
2021-01-04 19:40:02,91270
2021-01-04 19:45:03,90684
2021-01-04 19:50:02,89972
2021-01-04 19:55:03,89342
2021-01-04 20:00:03,88725
2021-01-04 20:05:02,87855
2021-01-04 20:10:03,87186
2021-01-04 20:15:02,86223
2021-01-04 20:20:03,84764
2021-01-04 20:25:03,84795
2021-01-04 20:30:02,84312
2021-01-04 20:35:03,83487
2021-01-04 20:40:03,81155
2021-01-04 20:45:02,80879
2021-01-04 20:50:03,80409
2021-01-04 20:55:02,79605
2021-01-04 21:00:03,79005
2021-01-04 21:05:03,78095
2021-01-04 21:10:02,77326
2021-01-04 21:15:03,76610
2021-01-04 21:20:03,74485
2021-01-04 21:25:03,74014
2021-01-04 21:30:03,73335
2021-01-04 21:35:02,72215
2021-01-04 21:40:03,70659
2021-01-04 21:45:03,70907
2021-01-04 21:50:02,70635
2021-01-04 21:55:03,69716
2021-01-04 22:00:03,68946
2021-01-04 22:05:02,68134
2021-01-04 22:10:03,67319
2021-01-04 22:15:02,66312
2021-01-04 22:20:03,65581
2021-01-04 22:25:03,64703
2021-01-04 22:30:02,63756
2021-01-04 22:35:03,62789
2021-01-04 22:40:03,61977
2021-01-04 22:45:02,61113
2021-01-04 22:50:03,60376
2021-01-04 22:55:03,59943
2021-01-04 23:00:03,57814
2021-01-04 23:05:03,58151
2021-01-04 23:10:02,58983
2021-01-04 23:15:02,58954
2021-01-04 23:20:03,57257
2021-01-04 23:25:02,56701
2021-01-04 23:30:03,56411
2021-01-04 23:35:02,57441
2021-01-04 23:40:03,57592
2021-01-04 23:45:03,57256
2021-01-04 23:50:03,57039
2021-01-04 23:55:03,56516
2021-01-05 00:00:03,56402
2021-01-05 00:05:02,55870
2021-01-05 00:10:03,55769
2021-01-05 00:15:03,55419
2021-01-05 00:20:03,55531
2021-01-05 00:25:03,54582
2021-01-05 00:30:02,55214
2021-01-05 00:35:03,54949
2021-01-05 00:40:03,54670
2021-01-05 00:45:02,54173
2021-01-05 00:50:03,54395
2021-01-05 00:55:03,54026
2021-01-05 01:00:02,54121
2021-01-05 01:05:03,53852
